subid,counter,trialtype,percentage,colorasked,diffshape,diffcolor,targetshape,targetcolor,distractorshape,distractorcolor,targetword, numclicks,date,timestamp,rttrain,rttest,object1name,object2name,object3name,attnselected
53,2,3,26,false,true,true,D,tan,H,gray,gade,0,5/8/2018,9:11,24546,"21814
",wug,toma,sprock,"gade
"
302,2,3,88,false,true,true,B,tan,J,pink,wug,0,5/8/2018,10:48,4806,"6872
",toma,blicket,sprock,"wug
"
12,2,2,45,true,true,false,J,teal,F,teal,toma,0,5/8/2018,10:23,5414,"10250
",blicket,wug,sprock,"toma
"
268,2,2,20,true,true,false,I,green,H,green,sprock,0,5/8/2018,11:36,6996,"28853
",toma,gade,blicket,"sprock
"
84,2,1,0,true,true,true,E,tan,G,teal,sprock,0,5/8/2018,11:06,6072,"7656
",gade,blicket,toma,"sprock
"
89,2,4,85,false,true,false,D,green,F,green,blicket,0,5/8/2018,9:11,3823,"8127
",sprock,dax,wug,"blicket
"
102,2,2,28,true,true,false,G,teal,A,teal,gade,0,5/8/2018,10:14,7055,"6967
",toma,blicket,sprock,"gade
"
301,2,1,66,true,true,true,H,gray,J,blue,dax,0,5/8/2018,9:26,3165,"10565
",wug,sprock,blicket,"dax
"
23,2,3,5,false,true,true,G,yellow,F,teal,toma,0,5/8/2018,9:39,4012,"13682
",gade,sprock,blicket,"toma
"
105,2,4,56,false,true,false,D,tan,G,tan,toma,0,5/8/2018,10:16,5595,"12203
",gade,sprock,wug,"toma
"
1,2,3,86,false,true,true,C,pink,G,gray,sprock,0,5/8/2018,10:35,3588,"6857
",toma,blicket,wug,"sprock
"
63,2,1,97,true,true,true,H,orange,J,tan,gade,0,5/8/2018,10:56,12245,"11185
",blicket,toma,dax,"gade
"
190,2,2,90,true,true,false,B,orange,F,orange,blicket,1,5/8/2018,9:44,7965,"16126
",sprock,wug,dax,"blicket
"
18,2,4,100,false,true,false,C,tan,D,tan,gade,1,5/8/2018,9:29,17523,"18645
",toma,sprock,blicket,"gade
"
228,2,2,60,true,true,false,G,gray,I,gray,dax,0,5/8/2018,7:19,13661,"14613
",wug,gade,sprock,"dax
"
328,2,4,75,false,true,false,H,orange,F,orange,dax,0,5/8/2018,10:24,8830,"5432
",sprock,toma,gade,"dax
"
56,2,1,80,true,true,true,I,orange,J,pink,dax,0,5/8/2018,10:29,4275,"12409
",toma,sprock,blicket,"dax
"
323,2,2,49,true,true,false,J,blue,F,blue,wug,0,5/8/2018,11:20,4767,"6540
",blicket,sprock,gade,"wug
"
139,2,4,50,false,true,false,C,teal,D,teal,sprock,4,5/8/2018,2:27,9030,"16953
",wug,gade,dax,"sprock
"
252,2,2,0,true,true,false,E,teal,G,teal,blicket,1,5/8/2018,10:26,11804,"2756
",gade,wug,toma,"blicket
"
177,2,1,75,true,true,true,B,tan,H,teal,dax,0,5/8/2018,11:01,5854,"13920
",blicket,toma,sprock,"dax
"
163,2,2,0,true,true,false,A,yellow,E,yellow,toma,0,5/8/2018,17:31,6145,"3314
",gade,sprock,blicket,"toma
"
172,2,4,65,false,true,false,B,orange,C,orange,blicket,0,5/8/2018,10:21,6478,"11935
",wug,sprock,gade,"blicket
"
234,2,3,73,false,true,true,E,green,I,tan,wug,2,5/8/2018,9:11,10038,"8575
",dax,gade,toma,"dax
"
265,2,3,20,false,true,true,F,yellow,J,tan,gade,9,5/8/2018,4:24,19115,"9831
",dax,wug,sprock,"gade
"
185,2,1,62,true,true,true,H,red,F,yellow,dax,0,5/8/2018,10:57,5022,"12554
",wug,gade,blicket,"dax
"
242,2,4,31,false,true,false,A,orange,B,orange,dax,0,5/8/2018,4:07,3111,"4224
",blicket,wug,gade,"dax
"
79,2,3,61,false,true,true,C,green,A,orange,blicket,0,5/8/2018,18:31,4002,"7092
",toma,wug,dax,"blicket
"
344,2,4,31,false,true,false,D,gray,E,gray,dax,0,5/8/2018,9:33,3509,"8323
",sprock,gade,toma,"dax
"
254,2,2,14,true,true,false,D,red,J,red,dax,0,5/8/2018,3:20,5914,"9949
",sprock,wug,blicket,"dax
"
327,2,4,5,false,true,false,H,blue,C,blue,blicket,0,5/8/2018,9:50,11332,"8489
",wug,dax,sprock,"blicket
"
59,2,2,22,true,true,false,F,green,A,green,wug,1,5/8/2018,4:33,8257,"8707
",sprock,toma,gade,"wug
"
152,2,3,72,false,true,true,H,gray,G,purple,dax,4,5/8/2018,9:10,14628,"3311
",wug,sprock,toma,"dax
"
285,2,2,53,true,true,false,I,blue,C,blue,dax,2,5/8/2018,10:40,4990,"3268
",blicket,gade,sprock,"dax
"
72,2,4,59,false,true,false,D,green,I,green,sprock,0,5/8/2018,6:03,20935,"10085
",wug,toma,blicket,"sprock
"
13,2,4,0,false,true,false,H,pink,F,pink,dax,0,5/8/2018,10:14,4561,"2442
",sprock,gade,toma,"dax
"
303,2,1,93,true,true,true,I,red,J,teal,gade,0,5/8/2018,11:30,5021,"6600
",wug,dax,toma,"gade
"
300,2,3,89,false,true,true,B,red,F,blue,blicket,0,5/8/2018,7:35,4220,"6238
",sprock,wug,toma,"blicket
"
144,2,1,23,true,true,true,A,purple,E,orange,blicket,0,5/8/2018,7:20,4273,"7858
",gade,dax,wug,"blicket
"
313,2,3,85,false,true,true,C,teal,A,yellow,toma,0,5/8/2018,11:05,5719,"5745
",sprock,wug,dax,"toma
"
337,2,2,53,true,true,false,C,yellow,A,yellow,dax,1,5/8/2018,4:46,8857,"11484
",toma,blicket,wug,"dax
"
112,2,1,16,true,true,true,E,green,A,red,dax,0,5/8/2018,10:18,7086,"39598
",gade,sprock,blicket,"dax
"
167,2,3,50,false,true,true,I,purple,C,green,gade,0,5/8/2018,9:31,7329,"11328
",toma,wug,sprock,"gade
"
187,2,2,71,true,true,false,F,red,G,red,toma,0,5/8/2018,11:31,7077,"7894
",dax,blicket,wug,"toma
"
116,2,4,74,false,true,false,I,orange,G,orange,gade,1,5/8/2018,10:07,11784,"4443
",sprock,toma,blicket,"gade
"
57,2,4,52,false,true,false,J,gray,C,gray,wug,0,5/8/2018,9:21,10926,"7451
",sprock,gade,blicket,"wug
"
138,2,2,77,true,true,false,J,red,B,red,gade,4,5/8/2018,10:42,13527,"15205
",blicket,toma,dax,"gade
"
255,2,4,100,false,true,false,D,teal,G,teal,wug,0,5/8/2018,10:20,7070,"23216
",toma,dax,sprock,"wug
"
150,2,3,14,false,true,true,E,purple,D,tan,wug,0,5/8/2018,10:38,5062,"12612
",blicket,sprock,dax,"wug
"
143,2,1,10,true,true,true,C,tan,G,purple,dax,0,5/8/2018,1:26,6880,"24556
",gade,sprock,toma,"dax
"
321,2,1,16,true,true,true,H,purple,F,orange,dax,0,5/8/2018,10:27,3325,"6405
",wug,gade,toma,"dax
"
153,2,1,27,true,true,true,J,yellow,D,pink,blicket,0,5/8/2018,11:32,2654,"7715
",gade,toma,sprock,"blicket
"
227,2,2,13,true,true,false,F,orange,C,orange,toma,0,5/8/2018,9:16,7744,"13139
",wug,sprock,gade,"toma
"
58,2,3,54,false,true,true,G,pink,A,purple,dax,0,5/8/2018,10:17,5770,"9361
",gade,blicket,sprock,"dax
"
141,2,1,100,true,true,true,E,gray,J,green,blicket,0,5/8/2018,10:54,3495,"6901
",toma,wug,gade,"blicket
"
295,2,3,30,false,true,true,H,teal,J,orange,blicket,4,5/8/2018,10:56,11429,"9015
",dax,wug,sprock,"blicket
"
272,2,2,15,true,true,false,J,red,C,red,dax,4,5/8/2018,7:15,9912,"10106
",gade,blicket,wug,"dax
"
336,2,2,15,true,true,false,J,red,G,red,wug,0,5/8/2018,10:36,3404,"4466
",sprock,dax,toma,"wug
"
341,2,4,0,false,true,false,G,yellow,C,yellow,gade,3,5/8/2018,9:28,7903,"1315
",sprock,wug,blicket,"wug
"
166,2,4,50,false,true,false,C,red,I,red,dax,0,5/8/2018,10:28,4192,"14076
",sprock,blicket,wug,"dax
"
204,2,2,18,true,true,false,H,yellow,J,yellow,sprock,0,5/8/2018,8:33,12046,"18505
",gade,dax,wug,"sprock
"
218,2,2,98,true,true,false,H,yellow,C,yellow,wug,0,5/8/2018,11:38,5498,"8366
",blicket,dax,toma,"wug
"
17,2,4,59,false,true,false,I,red,C,red,blicket,4,5/8/2018,10:09,9530,"8130
",dax,gade,toma,"blicket
"
70,2,4,74,false,true,false,G,orange,C,orange,wug,0,5/8/2018,10:14,4325,"5758
",dax,gade,blicket,"wug
"
207,2,4,80,false,true,false,H,blue,J,blue,blicket,0,5/8/2018,4:00,4426,"20167
",sprock,gade,dax,"blicket
"
194,2,3,48,false,true,true,E,pink,B,gray,blicket,0,5/8/2018,10:09,5298,"14537
",wug,toma,gade,"blicket
"
332,2,1,18,true,true,true,F,purple,C,blue,sprock,0,5/8/2018,9:57,4068,"4551
",blicket,wug,dax,"sprock
"
124,2,3,8,false,true,true,B,green,G,pink,toma,0,5/8/2018,11:07,20170,"14375
",blicket,wug,sprock,"toma
"
94,2,1,22,true,true,true,J,purple,H,gray,dax,0,5/8/2018,8:16,33790,"10132
",gade,wug,toma,"dax
"
345,2,3,15,false,true,true,F,teal,C,purple,blicket,0,5/8/2018,10:14,3909,"11191
",sprock,gade,wug,"blicket
"
41,2,3,25,false,true,true,H,red,C,blue,dax,2,5/8/2018,9:32,14478,"11940
",sprock,toma,gade,"dax
"
101,2,3,43,false,true,true,D,red,F,green,blicket,0,5/8/2018,9:11,3379,"5523
",dax,sprock,toma,"blicket
"
260,2,1,23,true,true,true,F,teal,J,blue,dax,0,5/8/2018,7:05,7915,"9629
",sprock,wug,toma,"dax
"
75,2,2,21,true,true,false,E,orange,B,orange,toma,0,5/8/2018,9:26,5562,"10119
",gade,wug,sprock,"toma
"
257,2,1,15,true,true,true,D,pink,J,gray,sprock,0,5/8/2018,10:30,3878,"15808
",blicket,wug,dax,"sprock
"
159,2,2,17,true,true,false,G,pink,H,pink,wug,0,5/8/2018,8:16,7721,"4536
",sprock,blicket,dax,"wug
"
47,2,2,50,true,true,false,C,pink,J,pink,dax,4,5/8/2018,10:39,13493,"31464
",blicket,toma,gade,"dax
"
66,2,2,34,true,true,false,B,orange,A,orange,toma,0,5/8/2018,10:22,8694,"10342
",sprock,blicket,dax,"blicket
"
40,2,4,19,false,true,false,B,pink,C,pink,gade,0,5/8/2018,9:55,9084,"13162
",dax,wug,sprock,"gade
"
239,2,4,27,false,true,false,D,yellow,H,yellow,sprock,1,5/8/2018,10:45,10600,"7998
",wug,gade,blicket,"sprock
"
45,2,3,99,false,true,true,G,teal,D,blue,dax,2,5/8/2018,17:59,15023,"11030
",gade,toma,sprock,"dax
"
201,2,2,45,true,true,false,J,tan,F,tan,gade,0,5/8/2018,9:34,6472,"11965
",wug,dax,toma,"gade
"
113,2,3,5,false,true,true,A,tan,E,gray,blicket,0,5/8/2018,10:10,3306,"6566
",toma,wug,gade,"blicket
"
154,2,3,100,false,true,true,I,orange,G,teal,toma,0,5/8/2018,10:40,5270,"15257
",sprock,gade,wug,"toma
"
38,2,4,23,false,true,false,A,tan,I,tan,toma,5,5/8/2018,9:19,14999,"8585
",dax,gade,blicket,"toma
"
126,2,2,0,true,true,false,G,green,E,green,dax,0,5/8/2018,11:32,4701,"2152
",gade,wug,toma,"dax
"
76,2,3,60,false,true,true,I,green,H,red,wug,0,5/8/2018,7:11,4980,"7294
",gade,toma,blicket,"wug
"
263,2,4,5,false,true,false,D,gray,C,gray,gade,1,5/8/2018,9:48,9666,"6807
",blicket,toma,sprock,"gade
"
140,2,1,5,true,true,true,J,purple,G,orange,dax,0,5/8/2018,0:53,2645,"6786
",gade,sprock,blicket,"dax
"
275,2,2,0,true,true,false,D,yellow,G,yellow,dax,0,5/8/2018,19:50,4970,"3678
",toma,wug,gade,"dax
"
142,2,2,100,true,true,false,J,teal,G,teal,blicket,0,5/8/2018,10:18,6256,"14663
",toma,wug,dax,"blicket
"
168,2,2,100,true,true,false,J,pink,A,pink,blicket,0,5/8/2018,1:11,5155,"7364
",gade,dax,toma,"blicket
"
305,2,1,55,true,true,true,E,tan,J,teal,toma,0,5/8/2018,9:39,2988,"8608
",dax,gade,blicket,"toma
"
176,2,1,76,true,true,true,H,blue,C,teal,sprock,1,5/8/2018,9:25,5993,"8983
",toma,dax,blicket,"sprock
"
181,2,1,50,true,true,true,B,pink,E,tan,toma,0,5/8/2018,9:27,4940,"17317
",sprock,blicket,wug,"toma
"
288,2,1,21,true,true,true,B,purple,H,green,sprock,0,5/8/2018,10:05,3381,"3945
",gade,wug,dax,"sprock
"
221,2,4,51,false,true,false,C,purple,B,purple,sprock,1,5/8/2018,10:07,5214,"6640
",toma,dax,gade,"sprock
"
30,2,4,0,false,true,false,D,red,A,red,wug,0,5/8/2018,10:30,6923,"4472
",sprock,dax,gade,"wug
"
49,2,3,35,false,true,true,H,green,A,purple,blicket,0,5/8/2018,9:34,4635,"11645
",sprock,dax,toma,"blicket
"
77,2,2,20,true,true,false,F,orange,D,orange,wug,3,5/8/2018,8:04,9921,"14918
",sprock,toma,dax,"wug
"
103,2,3,70,false,true,true,H,green,B,gray,dax,0,5/8/2018,9:29,7019,"16085
",gade,wug,sprock,"dax
"
216,2,1,19,true,true,true,E,blue,D,orange,wug,0,5/8/2018,8:31,5942,"11816
",toma,dax,sprock,"wug
"
212,2,1,20,true,true,true,C,pink,I,red,sprock,0,5/8/2018,1:17,7811,"27472
",gade,blicket,wug,"sprock
"
69,2,4,100,false,true,false,F,green,D,green,toma,0,5/8/2018,10:07,3962,"6816
",sprock,blicket,wug,"toma
"
316,2,2,100,true,true,false,C,orange,D,orange,gade,0,5/8/2018,11:26,10208,"8518
",blicket,dax,wug,"gade
"
191,2,1,5,true,true,true,H,purple,C,red,blicket,0,5/8/2018,10:20,5558,"6202
",sprock,dax,toma,"blicket
"
277,2,3,100,false,true,true,H,orange,D,teal,gade,0,5/8/2018,10:41,11197,"20341
",dax,wug,toma,"gade
"
169,2,4,0,false,true,false,H,orange,E,orange,blicket,9,5/8/2018,7:08,15761,"1317
",sprock,gade,dax,"blicket
"
147,2,1,54,true,true,true,J,gray,A,orange,sprock,0,5/8/2018,10:45,5964,"8378
",gade,toma,wug,"sprock
"
5,2,1,20,true,true,true,J,blue,E,yellow,blicket,0,5/8/2018,9:20,5115,"9267
",wug,dax,gade,"blicket
"
267,2,2,25,true,true,false,I,orange,B,orange,gade,0,5/8/2018,5:33,10283,"12567
",sprock,blicket,toma,"gade
"
39,2,1,20,true,true,true,E,purple,I,pink,dax,0,5/8/2018,6:02,4126,"7284
",sprock,gade,wug,"dax
"
188,2,3,100,false,true,true,G,yellow,B,red,blicket,0,5/8/2018,9:17,10142,"24761
",gade,toma,sprock,"blicket
"
6,2,2,100,true,true,false,F,gray,A,gray,sprock,0,5/8/2018,10:34,3528,"6456
",dax,gade,blicket,"sprock
"
279,2,1,5,true,true,true,A,yellow,H,orange,gade,0,5/8/2018,8:48,6682,"7759
",blicket,wug,toma,"gade
"
329,2,4,94,false,true,false,H,teal,I,teal,sprock,0,5/8/2018,7:17,9530,"5510
",gade,toma,wug,"sprock
"
129,2,1,46,true,true,true,G,purple,F,blue,wug,7,5/8/2018,19:32,24070,"6549
",blicket,gade,sprock,"gade
"
182,2,3,66,false,true,true,C,yellow,I,gray,dax,0,5/8/2018,5:40,4854,"21916
",gade,wug,sprock,"dax
"
314,2,2,85,true,true,false,J,red,E,red,dax,0,5/8/2018,2:51,5480,"9218
",sprock,gade,wug,"dax
"
210,2,1,25,true,true,true,F,red,D,teal,blicket,0,5/8/2018,7:57,4433,"14496
",toma,wug,gade,"blicket
"
68,2,2,100,true,true,false,J,red,I,red,dax,0,5/8/2018,8:37,6414,"7458
",toma,sprock,blicket,"dax
"
334,2,1,30,true,true,true,E,red,I,teal,dax,0,5/8/2018,9:17,6869,"11540
",blicket,toma,sprock,"dax
"
104,2,2,51,true,true,false,F,gray,E,gray,toma,1,5/8/2018,7:39,13136,"7798
",wug,sprock,gade,"toma
"
81,2,3,75,false,true,true,B,red,A,gray,toma,0,5/8/2018,9:14,7397,"14342
",blicket,dax,sprock,"toma
"
98,2,4,20,false,true,false,J,pink,C,pink,sprock,0,5/8/2018,11:32,4362,"10638
",gade,dax,wug,"sprock
"
118,2,1,20,true,true,true,J,blue,F,purple,blicket,0,5/8/2018,11:34,2786,"16349
",toma,sprock,dax,"blicket
"
123,2,3,63,false,true,true,B,red,C,orange,sprock,0,5/8/2018,10:10,6484,"9281
",toma,gade,blicket,"sprock
"
197,2,4,26,false,true,false,H,red,E,red,dax,0,5/8/2018,10:27,8158,"11331
",blicket,wug,gade,"dax
"
110,2,3,0,false,true,true,J,yellow,F,tan,gade,0,5/8/2018,10:38,4854,"6767
",dax,toma,sprock,"gade
"
107,2,3,0,false,true,true,A,pink,H,yellow,gade,0,5/8/2018,7:12,8449,"10245
",dax,blicket,sprock,"gade
"
319,2,4,14,false,true,false,A,teal,H,teal,gade,0,5/8/2018,9:41,5691,"10637
",dax,wug,blicket,"gade
"
293,2,3,99,false,true,true,J,yellow,G,pink,blicket,0,5/8/2018,7:33,10340,"10268
",gade,toma,dax,"blicket
"
171,2,1,50,true,true,true,H,tan,D,purple,dax,0,5/8/2018,9:01,19217,"11428
",blicket,toma,wug,"dax
"
256,2,4,50,false,true,false,G,teal,B,teal,blicket,3,5/8/2018,4:50,15936,"14469
",sprock,dax,gade,"blicket
"
290,2,1,78,true,true,true,H,teal,F,purple,gade,0,5/8/2018,11:32,3618,"9796
",blicket,toma,wug,"gade
"
340,2,2,0,true,true,false,D,orange,B,orange,wug,1,5/8/2018,9:33,23090,"2659
",dax,toma,sprock,"sprock
"
211,2,4,90,false,true,false,J,blue,E,blue,wug,4,5/8/2018,9:36,8799,"4579
",gade,blicket,toma,"wug
"
342,2,4,29,false,true,false,G,yellow,E,yellow,toma,0,5/8/2018,10:14,5076,"12827
",blicket,gade,wug,"toma
"
7,2,2,32,true,true,false,G,tan,B,tan,wug,2,5/8/2018,9:39,4778,"4651
",blicket,sprock,dax,"wug
"
286,2,3,88,false,true,true,E,purple,I,blue,wug,0,5/8/2018,10:15,5127,"10069
",toma,dax,sprock,"wug
"
185,2,4,61,false,true,false,B,red,I,red,wug,0,5/8/2018,10:58,9008,"3566
",toma,sprock,gade,"wug
"
306,2,2,14,true,true,false,F,blue,E,blue,dax,0,5/8/2018,11:39,6654,"15990
",wug,blicket,sprock,"dax
"
155,2,1,50,true,true,true,C,yellow,H,teal,sprock,0,5/8/2018,5:52,3986,"10251
",dax,gade,wug,"gade
"
309,2,1,80,true,true,true,G,gray,J,blue,toma,1,5/8/2018,7:21,6539,"12477
",sprock,blicket,dax,"toma
"
20,2,4,90,false,true,false,D,orange,I,orange,blicket,0,5/8/2018,7:08,5536,"16621
",gade,wug,toma,"blicket
"
175,2,1,33,true,true,true,F,yellow,B,teal,dax,0,5/8/2018,10:22,5607,"9361
",blicket,toma,wug,"dax
"
157,2,2,10,true,true,false,I,blue,C,blue,blicket,0,5/8/2018,10:22,5314,"10811
",gade,wug,toma,"blicket
"
132,2,3,7,false,true,true,F,red,H,pink,wug,2,5/8/2018,7:40,7803,"6223
",blicket,toma,gade,"wug
"
223,2,1,33,true,true,true,J,tan,G,yellow,blicket,0,5/8/2018,4:43,4999,"14282
",dax,gade,wug,"blicket
"
99,2,1,50,true,true,true,B,green,C,tan,sprock,0,5/8/2018,10:12,5006,"9522
",gade,blicket,toma,"sprock
"
119,2,1,36,true,true,true,D,teal,F,yellow,toma,0,5/8/2018,11:23,7931,"6663
",sprock,gade,dax,"toma
"
298,2,1,20,true,true,true,H,teal,J,yellow,dax,0,5/8/2018,10:18,8216,"12695
",wug,sprock,gade,"dax
"
219,2,1,19,true,true,true,A,gray,D,tan,dax,0,5/8/2018,10:39,3716,"7102
",wug,blicket,sprock,"dax
"
106,2,4,17,false,true,false,J,yellow,D,yellow,blicket,1,5/8/2018,9:46,9379,"4977
",gade,toma,sprock,"blicket
"
161,2,3,50,false,true,true,F,purple,H,pink,blicket,1,5/8/2018,7:18,16365,"17253
",gade,dax,toma,"blicket
"
21,2,4,50,false,true,false,C,yellow,H,yellow,gade,3,5/8/2018,10:15,5829,"3543
",toma,sprock,wug,"gade
"
214,2,2,87,true,true,false,I,gray,E,gray,sprock,0,5/8/2018,11:25,8160,"11508
",wug,gade,blicket,"sprock
"
164,2,3,65,false,true,true,B,orange,G,purple,wug,0,5/8/2018,7:33,7120,"24980
",sprock,gade,dax,"wug
"
235,2,1,75,true,true,true,A,green,G,red,blicket,0,5/8/2018,8:40,3752,"10439
",gade,toma,sprock,"blicket
"
339,2,4,91,false,true,false,G,orange,D,orange,sprock,0,5/8/2018,8:28,5440,"4959
",toma,wug,gade,"sprock
"
343,2,4,22,false,true,false,D,teal,J,teal,wug,0,5/8/2018,10:20,6512,"9675
",toma,dax,blicket,"wug
"
96,2,1,20,true,true,true,E,red,G,blue,blicket,0,5/8/2018,7:30,3304,"9310
",wug,gade,toma,"blicket
"
88,2,4,100,false,true,false,E,green,D,green,toma,0,5/8/2018,10:09,24306,"14198
",blicket,wug,gade,"toma
"
291,2,1,50,true,true,true,C,gray,H,yellow,gade,0,5/8/2018,0:56,2672,"12841
",sprock,dax,blicket,"gade
"
74,2,1,15,true,true,true,F,teal,I,green,dax,6,5/8/2018,3:51,70547,"43104
",wug,blicket,toma,"dax
"
61,2,3,7,false,true,true,H,tan,F,yellow,gade,0,5/8/2018,11:17,4883,"11220
",dax,toma,blicket,"gade
"
